unit_order,unit_id,unit_title,A4095,A4095-Mc-English,CCCP578,CCCP578-Mc-English,P3465,P3465-Mc-English,P3466,P3466-Mc-English,P400,P400-Mc-English,R2536,R2536-Mc-English
11,05992b63-fc37-47b8-94d3-2fdae95f3b6f,The King Requests the Full Parable,قال الملك وكيف كان ذلك قال الفيلسوف,“And how was that?” said the King.,قال الملك وكيف كان ذلك,“And how was that?” said the King.,قال الملك وكيف كان ذلك قال بيذبا,“And how was that?” said the King.,قال الملك وكيف كان ذلك قال الفيلسوف,“And how was that?” said the King. “The,فقال المَلك وكيف كان ذلك,And how was that said the King.,قال المَلك وكيف كان ذلك قال الفيلسوف,"“And how was that,” said the King."
12,9b8d9ffb-5d99-4130-90f6-ed163fa442fe,The Rat and the Cat Live Next to a Tree,زعموا أنّه كان بأرض سرنديب شجرة من الدوح وكان في أصلها حجر لجرذ يُقال له فريدون وجحر لسنّور يُسمّى روميّ,"“The claim goes,” said the Philosopher, “that, in the land of Sarandīb, there was a tall tree, and at its foot there was the burrow of a rat called Farīdūn and the den of a cat named Rūmī.",قال فيلسوف زعموا أنّه كان بأرض سرنديب شجرة وكان في أصلها جرذ وكان إلى جانب الشجرة جحر,"“The claim goes,” said the Philosopher that, in the land of Sarandīb, there was a tree, at its foot lived a rat, and next to the tree there was",زعموا أنّ شجرة عظيمة كان في أصلها جحر سنّور يُقال له روميّ وقريبًا منه جحر جرذ يُقال له فريدون,"“The claim goes,” said Baydhabā, “that at the root of a great tree was the den of a cat called Rūmī and close by the burrow of a rat called Farīdūn.",زعموا أنّه كان بمكان كذا وكذا شجرة من اليبروط عظيمة وكان في أصلها حجر جرذ يُسمّى فيروز وكان بالقرب من ذلك المكان مكان لسنّور يُقال له روميّ,"claim goes,” said the Philosopher, “that in such-and-such a place there was a great yabrūṭ tree at whose foot was the burrow of a rat called Fayrūz and near that site was the dwelling of a cat named Rūmī.",قال الفيلسوف زعموا أنّه كان بأرض سرنديب شجرة في أصلها جرذ يُسمّى فريدون وإلى جانبها جحر سنّور يُسمّى روميّ,"The claim goes, said the Philosopher that, in the land of Sirandīb, there was a tree at whose foot lived a rat named Farīdūn and next to it was the den of a cat named Rūmī. Hunters",ذكروا أنّ شجرة في بعض البلدان عظيمة في أسفلها سباع كثيرة وفي فروعها وكور للطير وكان في أصل تلك الشجرة سنّور,"“They mentioned that in some region there was a great tree at whose bottom lived many wild animals and on whose branches were nests of birds; that at the root of that tree, there was a cat;13"
13,3d513f01-783e-477d-8464-0733bb00936d,The Cat Is Caught,وكان الصيّادون ربّما اجتازوا بذلك المكان يلتمسون صيد الوحش وأنّ صيّاد أمرّ ونصب حباله ذات يوم فوقع فيها روميّ,"Hunters, at times, passed by that place, seeking to hunt wild game. One such huntsman came by, one day, set his snares, and Rūmī fell into them.",وكانوا قُنّاص تلك البلد كلّ يوم يلتمسوا الأوديّة والمواضع ليلتقوا لهم صيدًا لينتفعوا به فلمّا كان بعض الأيّام مرّوا بتلك الشجرة فوجدوا الطير والوحش يأوي إليها فصاروا يلتزمون ذلك المكان في كلّ وقت [[وكلّ ما]] قال فلمّا كان بعض الأيّام جاء رجل منهم فنصب حباله فوقع فيها ذلك السنّور الذي اسمه رومي قال وكان لمّا وقع السنّور في الحبائل,hunters of that land went every day to valleys and other sites to find game,وكان الصيّادون كثيرًا يتداولون ذلك المكان يصيدون فيه الوحش والطير فنزل ذات يوم صيّاد فنصب حباله قريبًا من موضع روميّ فلم يلبث أن وقع فيه,"Hunters frequented that place, hunting game and fowl there. One day, a huntsman arrived and set his snares near Rūmī’s place-it wasn’t long before he fell into them.” “The",وكان الصيادون ربّما التمسوا صيد الوحوش والطير قرب تلك الشجرة وأنّ صيّادًا نصب حبائلًا له ذات يوم فوقع فيها السنّور,Huntsmen occasionally sought game and fowl near that tree; and that one day one such huntsman set a snare of his into which the cat fell.,فكان القنّاص ربّما التمسوا صيد الوحوش والطير †فرىها وأنّ رجلًا من الصيّادين نصب حباله ذات يوم فوقع في السنّور,"occasionally sought game and fowl there; one day, one such huntsman set his snares, into which the cat.",وكان الصيّادون ربّما التمسوا صيد الوحوش والطير قرب تلك الشجرة وأنّ صيّادًا نصب حبائله ذات ليلة فوقع فيها السنّور,"that huntsmen at times used to seek game and fowl near that tree; and that one night one such huntsman set his snares, into which the cat fell."
14,a722e18e-8067-46a5-9ee2-c745688633fa,The Rat Seeks Food,وخرج الجرذ يبتغي ما يأكل وهو مع ذلك حذر يتلفّت وينظر فلمّا رأى السنّور مقتنصًا في الحبال فرح,"“The rat came out wanting to eat something, yet all the while cautious, turning around, surveying; upon seeing the cat trapped in the snares, he rejoiced.",خرج الجرذ يلتمس له شيئًا يقتات به وصار الجرد لمّا رأى السنّور في الحبائل خائفًا على نفسه وهو يلتفت يمينًا وشمالًا ثمّ نظر السنّور في الحبائل ففرح فرحًا شديدًا كأنّه قد وقع بفرصة,"the rat was coming out to seek some nourishment. Upon seeing the cat in the snares, he became afraid for himself, turning left and right. Then saw the cat in the snares and rejoiced greatly at that, as if he fell upon an opportunity.",فخرج الجرذ يدبّ ويبغي ما يأكل وهو حذر من روميّ فبينما هو يسعى إذ بصر به في الشرك فسُرّ واستبشر,"rat came out creeping, wanting something to eat, yet cautious of Rūmī. As he was pursuing his search he noticed him in the net; so he was pleased, welcoming the sight He",وخرج الجرذ يدبّ ليبتغي ما يأكل وهو مع ذلك حذر يتلفت وينظر فلمّا رأي السنّور مقتنصًا في الحبائل فرح بذلك,"“The rat came out creeping, to seek something to eat, yet all the while cautious, turning around, surveying; upon seeing the cat trapped in the snares, he rejoiced at it.",وخرج الجرذ يدبّ في ابتغاء ما يأكل وهو يلتفت وينطر فلمّا رأى السنّور في الحبال فرح لذلك,"The rat came out creeping, seeking something to eat, turning around, surveying; upon seeing the cat in the snares, he rejoiced at it.",فخرج الجرذ فدبّ يلتمس ما يأكل وهو مع ذلك حذر يلتفت يمينًا وشمالًا فلمّا رأى السنّور في الحبال فرح,"The rat came out and crept along seeking something to eat, yet all the while cautious, turning right and left. Upon seeing the cat in the snares, he rejoiced."
15,1505dede-f614-426d-8c7b-8364589df51c,Foes Surround the Rat,ثمّ التفت خلفه فأبصر ابن عرس قد تبعه فنظر فوقه فإذا بومة على شجرة ترصده فخاف إن انصرف راجعًا أن يثب عليه ابن عرس وإن ذهب يمينًا أو شمالًا أخذته البومة وإن تقدّم فالسنّور أمامه,"He then turned behind him and saw that a mongoose had tracked him; and looking over his head, he saw an owl, atop a tree, watching him. And so, he feared-that if he turned back, the weasel would jump on him; that if he moved left or right, the owl would take him; and that if he stepped forward, the cat was right in front of him.",عليه ابن عرس وإن هو تقدّم أن يأخذه السنّور فبينما هو فرحان إذ نظر إلى خلفه فإذا هو بابن عرس ثمّ رفع طرفه نحو الشجرة فإذا هو ببومة على الشجرة فخاف على نفسه إن هو انصرف وثب,"While joyful, he happened to look behind and suddenly saw a mongoose; he then raised his eye toward the tree and saw an owl on the tree. And so, he feared for himself: if he turned back, the mongoose would jump on him and if he stepped forward, the cat would take him.",ثمّ التفت فرأى خلفه ابن عرس يريد أخذه وفي الشجر بومًا يريد اختطافه فتحيّر في أمره وخاف إن رجع وراءه أخذه ابن عرس وإن ذهب يمينًا أو شمالًا اختطفه البوم وإن تقدّم أمامه افترسه السنّور,"then turned and saw behind him a mongoose who wanted to take him, and in the tree an owl who wanted to snatch him. And so he became perplexed about his situation. He feared- that if he stepped back, the mongoose would take him; that if he moved right or left, the owl would snatch him; and that if he stepped straight ahead of him, the cat would kill him as prey.”",ثمّ التفت خلفه فأبصر ابن عرس قد تبعه وكمن له ونظر فوقه فإذا بومة في الشجرة ترصده فخاف إن انصرف راجعًا أن يثب عليه ابن عرس وإن ذهَب يمينًا وشمالًا أن تخطفه البومة وإن هو تقدّم أمامه أكله السنّور,"He then turned behind him and saw that a mongoose had tracked him and lay in wait; and looking over his head, he saw an owl, atop the tree, watching him. And so he feared-that if he turned back, the mongoose would jump on him; that if he moved left or right, the owl would snatch him; and that if he stepped forward the cat would eat him.",ثمّ نظر خلفه فإذا هو بابن عرس قد اتّبعه فكمن له ونظر فوق الشجرة فإذا هو ببومة ترصده فخاف إن هو انصرف أن يثب عليه ابن عرس وإن ذهب يمينًا وشمالًا أن تخطفه البومة وإن هو تقدّم أن يأخذه السنّور,"Then he looked behind and saw that a mongoose had tracked him and lay in wait, and looking toward the top of the tree, he saw an owl watching him. And so, he feared- that if he turned back, the weasel would jump on him; that if he moved left and right, the owl would snatch him; and that if he stepped forward, the cat would take him.",ثمّ التفت فأبصر ابن عرس قد اتّبعه وكمن له ونظر فوقه فإذا بومة على الشجرة ترصده فخاف إن انصرف راجعًا أن يثب عليه ابن عرس وإن ذهب يمينًا أو شمالًا أن تختطفه البومة وإن تقدّم فالسنّور أمامه,"Then he turned around and saw that a mongoose had tracked him and lay in wait, and looking over his head, he saw an owl, atop the tree, watching him. And so, he feared-that if he turned back, the mongoose would jump on him; that if he moved left or right, the owl would snatch him; and that if he stepped forward, the cat was right in front of him."
16,c8d0b54f-e304-489c-8084-e751e699a227,The Rat Weighs His Predicament ,فقال الجرذ هذا بلاء قد اكتنفني وشرار قد تظاهرت عليّ ولا مفزع لي إلّا إلى عقلي وحيلتي فلا يكوننّ الدهش من شأني ولا يذهبنّ قلبي شعاعًا,"“‘This is trouble which has besieged me’ said the rat and evils that have come upon me in succession, and I have no resort but to my sense and ingenuity. I should not fall into confusion and be disheartened;",فقال هذه بلايا اكتنفتني وشرور قد تظاهرت عليّ ولا مفزع لي إلّا حيلتي وعقلي فلا يكوننّ من شأني الدهش ولا يذهب قلبي شعاعًا,"‘These are troubles that have besieged me,’ he said, ‘ ,and evils that",فقال في نفسه هذا بلاء قد اكتنفني وشرور تظاهرت عليّ ومحن قد أحاطت بي وبعد فمعي عقلي فلا يفزعني أمري ولا يهولنّني شأني ولا يلحقني الدهش ولا يذهب قلبي شعاعًا,"“These are troubles that have besieged me,’ he therefore said to himself. ‘Evils have come upon me in succession, and trials have surrounded me. Yet I still have my intelligence: my situation should not frighten me, nor my affair should terrify me, perplexity overtake me, nor should I be disheartened.",فقال هذه بلايا قد اكتنفتني وشرور قد تظاهرت عليّ ولا مفرغ لي إلاّ عقلي وحيلتي وليس ينبغي أن يغلب عليّ الدهش ولا يذهب عقلي شعاعًا,"‘These are troubles that have besieged me,’ he said, “and evils that have come upon me in succession, and I have no resort but to my sense and ingenuity. I should not be overtaken by confusion, and my intelligence must not be scattered in dismay].",فقال هذه بلايا اكتنفتني وشرور قد تظامرت عليّ ولا يرجع إلّا لعقلي وحيلتي فلا تكوننّ من شأني الدهش ولا يذهب قلبي شعاعًا,"‘These are troubles that have besieged me,’ he said, ‘and evils that",فقال الجرذ ينبغي إليّ أن أستعين بالحلم والمودّة والاحتيال لهذا الأمر حتّى أتخلّص منه,"The rat said, “I need to rely upon self-control, friendliness, and cunning to deal with this matter, so that I can escape from it,"
17,8f48103d-687b-48de-8984-82b0bbfcc9da,Intelligence Is Revealed in Crises,,,,,,,,,,,,
18,0b9c6aa9-07b5-475a-beaa-03866ae6f72d,The Intelligent Always Keeps Alert,فإنّ العاقل لا يتفرّق عليه رأيه ولا يعزب عنه عقله على حال,"the sensible man does not lose judgment and his intelligence does not abandon him, whatever the circumstance,",فإنّ العاقل لا يفترق عليه رأيه ولا ينصرف عنه عقله على حال,"the sensible man does not lose judgment and his intelligence does not abandon him, whatever the circumstance. for",فالعاقل لا يفرق عنه رأيه ولا يغرب عنه ذهنه على حال,"The sensible man does not lose his judgement, and his mind does not abandon him, whatever the circumstance;",فإنّ العاقل لا يتفرّق عليه رأيه ولا يغرب عنه عقله على حال,"The sensible man does not lose judgment, and his intelligence does not abandon him, whatever the circumstance;",فإنّ العاقل لا يتفرّق عليه [[عقله]] رأيه ولا يعرب عنه عقله على حال,"the sensible man does not lose judgment and his intelligence does not abandon him, whatever the circumstance.",,
19,2a49ee2c-5ddc-439a-8e0c-642e8ca711f3,Intelligence Is Like the Sea,وإنّما عقول ذوي الرأي كالبحر الذي لا يُدرك غوره,for the minds of the level-headed are like the sea whose depth cannot be reached.,وإنّما عقول ذوي الألباب كالبحر الذي لا يُدرك غوره,"the minds of the wise are like the sea whose depth cannot be reached,",وإنّما العقل شبيه بالبحر الذي لا يُدرك غوره,for intelligence resembles the sea whose deeps cannot be reached. The,وإنّما عقول ذوي العقول كالبحر الذى لا يُدرك غوره,for the minds of the intelligent are like the sea whose depth cannot be reached.,ولكن النبل في هذا كالبحر الذي <لا> يُدرك غوره,"Indeed, agood judgment in this is like the sea whose depths cannot be reached,",فإنّ قلوب العلماء بحر عميق لا يُدرَك غوره,"for the hearts of the knowledgeable are a deep sea whose depth cannot be reached,"
20,786b0613-3211-4ac8-abe0-922c77517e90,Situations Do Not Blind the Intelligent,ولا يبلغ البلاء من ذي الرأي مجهود عقله فيهلكه ولا للرخاء يبلغ منه مبلغًا ينظره ويشكره ويعمي عليه أمره,"Trouble does not affect the level-headed man with the loss of his sense as to cause him to perish; and neither should comfort affect him so as to make him complacent, exuberant, and blind to his situation.",ولا يبلغ البلاء من ذي رأي ما يذهل عقله فيهلكه,and trouble does not so much affect a level-headed man as to stupefy his mind and cause him to perish.,ولا يبقى ذو الرأي مجهودًا ولا ينبغي للرجل أن يبلغ به رأيه مبلغًا يعمي عليه أمره,level-headed man does not remain exhausted; and one should not allow one’s disposition to reach the point where one becomes blind to one’s situation.,ولا يبلغ البلاء من ذي الرأي مجهوده فيهلكه ولا الرجاء ينبغي له أن يبلغ منه مبلغًا ينظره ويسكره ويعمي عليه أمره وينبغي لي أن أستعمل عقلي,"Trouble does not affect the level-headed man’s capacities as to cause him to perish; nor should hope affect him to a point where he is made complacent, intoxicated, and blind to his situation. I must use my intelligence!’”",ولا يبلغ البلاء من ذوي الرأي ولا سيّما مجهود عقله فيهلكه والرجاء منه مبلغًا,"and trouble does not so much take over a level-headed man-especially over his intelligence-as to cause him to perish, while hope is attainable.",ولا يبلغ البلاء من ذوي العقول مجهود عقولهم ولا الرجل ينبغي له أن يبلغ مبلغًا يشكّه فيه ويعمى عليه,and trouble does not affect the men of intelligence with the loss of sense; and neither should one reach a point where one doubts oneself and becomes blind to one’s situation.”
