unit_order,unit_id,unit_title,A4095,P3465,P3475,R2536,CCCP578,P3471
18,6092aba0-6042-42db-b5bd-389acb1ddf27,Philosopher Tells of Pious Jackal,قال الفيلسوف زعموا أنّه كان بأرض كذا وكذا ابن آوى وكان *متألّهًا متعفّفًا وكان مع ذئاب وثعالب وبنات آوى ولم يكن يصنع ما يصنعون ولا يُغير كما يُغيرون ولا يأكل لحمًا,قال الفيلسوف زعموا أنّ ابن آوى كان يسكن في بعض الدجال وكان زاهدًا ناسكًا,قال الفيلسوف زعموا أنّه كان بأرض كذا ابن آوى وكان متألّهًا متعفّفًا في بنات آوى وذئاب وثعالب ولم يكن يصنع كما يصنعون ولا يريق دمًا ولا يأكل لحمًا,قال الفيلسوف ذكروا أنّه كان بأرض الكرخ ابن آوى وكان متألّه ويتعفّف ويكون مع بنات آوى وسائر السباع فلا يفعل ما يفعلن ولا يأكل اللحم,قال الفيلسوف زعموا أنّه كان بأرض الهند ابن آوى وكان يتألّه ويتعفّف ويكون مع بنات آوى والثعالب ولا يصنع ما يصنعون ولا يأكل لحمًا,زعموا أنّه كان بأرض الهند في موضع يُقال له طوايوطين ابن آوى وكان متألّهًا متعبّدًا متعفّفًا وكان مع بنات آوى والثعالب والذئاب وسائر السباع فلم يكن <يصنع> ما يصنعن ولا يغير كما يغيرون ولا يهرق دمًا ولا يأكل لحمًا
19,d671ff0e-69bd-491c-983a-4ab35a9cd5c7,Pack Denounces Jackal,فخاصمته تلك السباع وقلن له لا نرضى بسيرتك ولا برأيك الذي أنت عليه مع أن تألّهك لا يغني عنك شيئًا وأنت لا تستطيع أن تكون كأحدنا فتسعى معنا وتفعل فعلنا فما الذي يشبه كفَّك عن الدماء وتركك اللحم,,فخاصمته تلك السباع وقلن لا نرضى بسيرتك ولا برأيك الذي أنت عليه مع أنّ تألّهك لا يغني عنك شيئًا وأنت لا تستطيع أن تكون كأحدنا فتسعى معنا وتفعل فعلنا,فخاصمته السباع وقلن له إنّا لا نرضى بسيرتك التي أنت عليها مع أنّ تألّهك لن يغني عنك شيئًا وأنت واحد منّا لا تستطيع أن تتغيّر عمّا نحن فيه,فخاصمته تلك السباع وقالوا له إنّه لا نرضى بسيرتك ولا برأيك الذي أنت عليه فأيّ شيء تركك الدنيا وكفّك عن اللحم,فخاصمته تلك السباع وقلن له إنّا لا نرضى سيرتك ولا رأيك الذي أنت عليه ولا خير فيها مع أنّ تألّهك لا يغني عنك شيئًا وأنت لا تستطيع إلّا أن تكون واحدًا منّا تصحبنا وتسعى معنا وتفعل فعلنا *فما الذي يشبه كفّك عن الدماء *وتركك أكل اللحم
20,c00637ad-913e-455d-b65d-ed6950531c39,Jackal Is not Accountable for Pack's Actions,قال ابن آوى إنّ صحبتي إيّاكم لا تؤثمني إن لم آثم من نفسي,,قال ابن آوى إنّ صحبتي إيّاكم لا يؤثمني إذا لم أؤثم نفسي,قال بن آوى إنّ صحبتي إيّاكم لن تؤثمني إذا لم أؤثم نفسي,قال ابن آوى إنّ صحبتي إيّاكم لا *تؤثمني إن لم أؤثمنّ نفسي,قال ابن آوى إنّ صحبتي إيّاكنّ لا يؤثمني إذا لم أفعل ذلك أنا بنفسي ولم أؤثمها
21,1841911b-a366-4793-af44-8a4e010460d9,Sins Depend only on One's Actions,لأنّ الآثام ليست من قِبل الأماكن والأصحاب ولكنّها من قِبل القلوب والأعمال,,لأنّ الآثام ليست من قبل الأماكن والأصحاب ولكنّها من قبل القلوب والأعمال,فإنّ الآثام من قبل القلوب وليس من قبل الأماكن,فإنّ !الأيّام ليست من قِبل الأماكن والأصحاب ولكنّها من قِبل القلوب والأعمال,فإنّ الآثام ليست من قبل القلوب والأعمال
22,05527587-aba6-45fc-bad2-1d7535b06cd5,Sin Is Independent from Place,فلو كان صاحب المكان الصالح يكون عمله فيه صالحًا وصاحب المكان الشرّ يكون عمله فيه سيّئًا إذن كان من قتل الناسك في محرابه لم يأثم ومن استحياه في معركة القتال آثم,,ولو كان صاحب المكان الصالح يكون عمله فيه صالحًا أو المكان السوء يكون عمله *سيّئًا كان فاعل الناسك في محرابه لا يأثم ومن استحياه في معركة القتال آثم,ولو كان ذلك كذلك لكان جديرًا أنّ كلّ من يدنو من بيوت النسّاك لا يأثم,,ولو كان صاحب المكان الصالح يكون عمله فيه صالحًا وصاحب المكان السوء يكون عمله فيه مسيئًا فحينئذ كان يكون من قتل في المساجد لم يأثم ومن استحيا في معارك القتال أثِم
23,40aba089-aaaa-4153-8caf-481afe7ec18d,Jackal's Heart Is Distant from Others,,,وأنا صحبتكم بنفسي ولم أصحبكم منّي قلبًا لأنّي أعلم ثمرة الأعمال,وإنّما صَحِبتكم بنفسي ولن يصحبكم منّي قلب ولا عمل,,وإنّي إنّما أصحبكم بنفسي ولم يصحبكم منّي قلبي ولا عملي لأنّي أعرف ثمرة الأعمال
24,6515bec0-2522-4371-a9b7-3345b4510e59,Lion Meets with Jackal,,,,,,
25,4382eb4c-99f9-484b-a720-a21107503d4d,Lion Hears of Jackal,فثبت ابن آوى على حاله تلك وشُهر بالنسك والتألّه حتّى بلغ من الصدق والعفاف والأمانة أفضل ما بلغ أحد من النسّاك وبلغ ذلك أسدًا كان ملك السباع بتلك الناحية فرغب فيه,قد اشتهرت حاله بين السباع بالنسك حتّى بلغ ذلك أسدًا كان ملك تلك الناحية فرغب في استخدامه وعرف ما بلغه عنه من العفاف والنزاهة والزهد والأمانة,ولبث على ذلك واشتهر بالنسك والعبادة والتألّه في الرأي حتّى بلغ ذلك أسدًا كان ملك السباع بتلك الناحية فرغب فيه وفي الذي بلغه عنه من العفاف والصدق والأمانة,فلبث ابن آوى على حاله واشتهر بالنسك والعبادة حتّى بلغ ذلك أسدًا كان ملك سباع تلك الناحية فرغب فيه لما بلغه عنه من العفاف والصدق والأمانة,فثبت ابن آوى على حاله تلك وشُهر وتألّه فبلغ ذلك ملك السباع بتلك الناحية فرغب فيه وفيما عنده من العفاف والصدق,ثمّ <إنّ> ابن آوى ثبت على حالته تلك واشتهر بالنسك !والثالثة في أمثاله والنبالة في الرأي حتّى بلغ ذلك أسدًا كان ملك سباع بتلك الناحية فرغب فيه وفيما بلغه عنه من العفاف والصدق والأمانة
26,d3ec7d2a-fcf3-434a-89cc-0fbedd770a05,Lion Verifies Jackal's Qualities,وأرسل إليه وكلّمه وفتّشه ودعاه إلى صحبته,فأرسل إليه يستدعيه فلمّا حضر كلّمه وأنسه فلمّا كان بعد أيّام دعاه إليه,فبعث إليه وأتى به وكلّمه,فأرسل إليه فأتاه وكلّمه ثمّ دعاه بعد أيّام إلى منزله,فأرسل إليه ملك السباع فكلّمه ثمّ دعاه بعد أيّام,فأرسل إليه فأتاه وكلّمه !ونابشه فأعجبه ثمّ دعاه بعد أيّام إلى صحبته
27,98b91877-ad84-4d51-a4e9-19e1ce2105d4,Lion Offers Viziership,فقال له إنّ مُلكي عظيم وأعمالي كثيرة وأنا إلى الأعوان محتاج وقد بلغني عنك نبل وعفاف ثمّ قدمت عليّ فازددت بك إعجابًا وفيك رغبة وأنا [وأنا] مولّيك من عملي جسيمًا ورافع منزلتك إلى منزلة الأشراف وجاعل لك منّي خاصّة,وقال له تعلم أنّ مالي كثير وأعواني جمّ *غفير وأنا مع ذلك إلى الأعوان محتاج وقد بلغني عنك عفاف فازددت فيك رغبة وأنا مولّيك من عملي جسيمًا ورافعك إلى منزلة شريفة وجاعلك من خاصّتي,وقال له إنّ مُلكي عظيم وأنا إلى الأعوان محتاج وقد بلغني عنك نبل وعفاف ثمّ قدمت عليّ فازددت فيك رغبة وأنا مولّيك من عملي جسيمًا ورافع منزلتك إلى منزلة الأشراف وجاعلك من خاصّتي,فقال له إنّ مُلكي عظيم وأعمالي كثيرة وأنا إلى الأعوان محتاج وقد بلغني عنك ما أحببت ورأيت تصديق ذلك فازددت فيك رغبة وأنا مولّيك أعمالي وجاعل لك منّي خاصّة ومنزلة,وقال له إنّ مُلكي عظيم وأعمالي كثيرة وقد بلغني عنك نبل وعفاف ثمّ ازددت فيك رغبة وأنا مولّيك من عملي جسيمًا ورافعك إلى منزلة شريفة وجاعلك من خاصّتي,فقال له إنّ مُلكي عظيم وأعمالي كثيرة وأنا إلى الأعوان محتاج وقد ذُكر لي منك نبل وعفاف وفضل ثمّ قدمت إليّ فرأيت فيك تصديق ما بلغني عنك فازددت فيك رغبة فأنا مولّيك من عملي جسيمًا ورافع منزلتك إلى منزلة أهل الشرف والرفعة وجاعل لك منّي مكانًا وخاصّة
28,b656949e-e895-436e-b35d-0d631beab68b,King Must not Impose Service,قال ابن آوى إنّ الملوك أحقّ باختيار الأعوان فيما يهتمّون به من أعمالهم وأمورهم من غير أن يكرهوا على ذلك أحدًا لأنّ المكره لا يستطيع المبالغة في العمل,قال ابن آوى إنّ *الاجتباء للأعوان ممّا يهتمّون به في أمورهم وأعمالهم وهم أحرى ألّا يكرهوا ذلك فإنّ المكره لا يُستطاع بالمبالغة,قال ابن آوى إنّ الملوك أحقّاء باختيار الأعوان فيما يهتمّون به من أعمالهم من غير أن يُكرهوا أحدًا فإنّ المكره لا يستطيع المبالغة في العمل,قال ابن آوى إنّ الملوك محقّون للاختيار للأعوان لكلّ ما يهتمّون به من أمورهم وأن لا !يكرمون أحدًا على ما ليس من شأنه فإنّ المكره لا يستطيع المبالغة في العمل,قال ابن آوى إنّ الملوك أحقّاء باختيار الأعوان فيما يهتمّون به من أمورهم *وأعمالهم وأحقّاء حقًّا لا يُكرهون عليه,قال ابن آوى إنّ الملوك أحقّاء باختيار الأعوان لما يهتمّون به من أمورهم وأعمالهم ولا يكرهوا أحدًا على ذلك ولا على ما ليس من شأنه فإنّ المكره لا يستطيع المبالغة في العمل
29,c1a9e9be-17c1-410d-a393-dbdf100ab86c,Jackal Declines Position,وأنا لعمل السلطان كاره وليست لي به تجربة ولا بالسلطان رفق,وإنّي لعمل السلطان كاره وليس لي به تجربة ولا بأمر السلطان رفق,وأنا لعمل السلطان كاره وليست لي ولا بالسلطان رفق,وأنا لعمل السلطان كاره وليست لي به تجربة ولا للسلطان رفق,وأنا ما لي طاقة ولا قدرة بأعمال السلطان ولا لي به علمًا,وأنا لعمل السلطان مستقلّ كاره وليست لي به تجربة ولا بالسلطان رفق
30,ee226ebf-60cb-4f1a-bfae-cf6251c52972,Lion Has Eager Candidates,وأنت ملك السباع وعندك من أجناس السباع عدد كثير وفيهم أهل نبل وقوّة ولهم على العمل حرص ولهم به رفق فإن استعملتهم أغنوا عنك واغتبطوا لأنفسهم بما أصابوا من ذلك,وأنت ملك *السباع وعندك من أجناس الوحوش عدد كثير فيهم حيل وقوّة ولهم على العمل حرص *وعندهم به رفق وإن أنت استغنيت عنهم [[اغتبطوا]] {استغنوا} لأنفسهم,وأنت ملك السباع عندك من أجناس الوحش عدد وفيهم نبل وقوّة فإن استعنت بهم أعانوك,وأنت ملك وعندك من جنسي وجنس غيري عدد كثير لهم بصر وقوّة وحرص على العمل ورفق وقوّة فإن استعملتهم أغنوا عنك,وأنت ملك السباع كلّها وعندك من أجناسها عدد كثير لهم عقل وأدب وفضل وهم يعلمون من ذلك ما يريده,وأنت ملك السباع وعندك من أجناسها عدد كثير وفيهم أهل نبالة وأصحاب بصائر وقوّة على العمل وحرص ولهم به رفق وفيما تريد رغبة فإن استعملتهم أغنوا عنك واغتبطوا لأنفسهم بما أصابوا منك في ذلك
31,142c0a7d-e58f-4640-8e41-ee7392be93eb,Lion Does not Excuse Jackal,قال الأسد دعْ عنك هذا فإنّي غير معفيك من العمل,قال دعْ عنك هذا فإنّي غير معفيك من العمل,قال الأسد دع هذا عنك فإنّي غير معفيك من العمل,قال الأسد دع عنك هذا فإنّي غير معافيك من الأعمال,قال له الأسد دع عنك هذا الكلام فإنّي غير معافيك من هذه الولاية والعمل,قال الأسد فإنّي غير معفيك من العمل
32,8e3f57f3-5d78-4a67-be24-8f2757a00cda,Two Kinds Serve Kings,قال ابن آوى إنّما يستطيع العمل وصحبة السلطان رجلان لست بواحد منهما إمّا فاجر مصانع ينال حاجته بفجوره ويسلم بمصانعته وإمّا رجل مهين مغفّل لا يحسده أحد,قال ابن آوى إنّما يستطيع خدمة السلطان رجلان لست بواحد منهما إمّا فاجر مصانع ينال حاجته بمصانعته وإمّا مغفّل لا [[يحسده]] {يخشاه} أحد,قال ابن آوى إنّما يستطيع صحبة السلطان رجلان لست واحدًا منهما إمّا فاجر ينال !حليته بفجوره وإمّا رجل مهين غافل,قال ابن آوى إنّما يستطيع صحبة السلطان رجلان لست بواحد منهما إمّا فاجر مصانع ينال حاجته بفجوره ويسلم بمصانعته وإمّا مهين مُغفّل لا يحسده أحد,قال له ابن آوى إنّما يستطيع صحبة الملوك رجلان لست أنا بواحد منهما إمّا فاجرًا مصانعًا وإمّا مهينًا مغفّلًا لا يحسده أحد,قال ابن آوى إنّما يستطيع صحبة السلطان رجلان لست بواحد منهما إمّا فاجر بصانع ينال حاجته بفجوره في العاجل وغدائه في الآجل ويسلم بمصانعته ومداهنته وإمّا رجل مهين مفضّل لا يحسده أحد
33,a33c6dcd-637c-4bf3-a7ae-ed20a401502d,Good Advisor Is Hated,فأمّا من أراد أن يصحب السلطان بالصدق والنصيحة والعفاف لا يخلط ذلك بمصانعة فقلّ ما يستقيم له صحبتهم لأنّه يجمع عليه عدوّ السلطان وصديقه بالعداوة والحسد,فمن أراد أن يخدم السلطان بالصدق والعفاف فلا يخلط ذلك بمصانعته فقلّ أن يسلم على ذلك لأنّه يجتمع عليه نصيحة سلطانه ونصيحة ربّه ونصيحة نفسه ونصيحة الرعيّة,فأمّا من أراد أن يصحب الملوك بالصدق والنصيحة والعفاف لا يخلط ذلك بغيره فقلّ ما تستقيم له صحبتهم ﻷنّه يجتمع عليه عدوّه وصديقه بالعداوة والحسد,فأمّا من أراد أن يصحب الملوك بالصدق والنصيحة والعفاف ولا يخلط ذلك بمصانعة قبل ما يستقيم له صحبتهم فإنّه يجتمع عليه عدوّ السلطان وصديقه بالعداوة والحسد,وأمّا من أراد أن يلزمهم الصدق والنصيحة والعفاف لا يخالط بذلك غيره !فعل من يستقيم له ذلك لأن يجتمع عليه عدوّان الملك ووزرائه بالحسد,قال الأسد دعْ عنك هذا فإنّ من أراد أن يلزم الملوك ويصحبهم بالصدق والنصيحة والغناء والصلح وغير ذلك فلا يخلط ذلك بمصانعة ولا اهتمال فقلّ ما يستقيم وتسلم له صحبتهم لأنّه يجتمع عليه عدوّ السلطان وصديقه بالعداوة والحسد
34,951325ec-3e2b-4362-9d95-cbb0efe0bb14,Threats against Good Advisor,أمّا الصديق فينافسه في منزلته ويبغي عليه فيها ويعاديه وأمّا عدوّ السلطان فيضّغن عليه بنصيحته لسلطانه وغنائه عنه فإذا اجتمع عليه هذان الصنفان كان تعرّض هلاكه,فإذا جمع هذه الأصناف فقد تعرّض للهلاك,أمّا الصديق فينافسه في منزلته ويبغي عليه فيها ويعاديه لها وأمّا المغفّل [[السلطان]] فيضطغن عليه بنصيحته لسلطانه وغنائه عنه فإذا اجتمع عليه هذان الصنفان كان قد تعرّض *للهلاك,أمّا الصديق فينافسه في منزلته وينبغي له فيها ويعاديه لها وأمّا عدوّ السلطان فيضطغن عليه لصحبته لسلطانه وعناية عنه فإذا اجتمع عليه هذان الصنفان فقد تعرّض *للهلاك,أمّا الصديق فينافسه ويبغي عليه وأمّا العدوّ فيظهر له الشماتة ويرصد له ساعة يكون فيها هلاكه فإذا اجتمع إليه الصنفان جميعًا كان هتفًا للهلاك,أمّا الصديق فينافسه في منزلته ويبغي عليه فيها ويعاديه لها وأمّا عدوّ السلطان *فيضطغن عليه لمودّته ونصيحته لسلطانه وغنائه عنه فإذا اجتمع عليه هذان الصنفان كان تعرّض هلاك
35,07399b66-8ae0-450d-be12-4d2c4f342c14,Good Advisor Cannot Last,,,,,,
36,a82c4017-f970-4bea-9606-7f9c27e5dbf4,Lion Promises Jackal Protection,قال الأسد لا يكوننّ بغي أصحابي عليك *وحسدهم لك ممّا يعرض في قلبك فإنّي كافيك ذلك وبالغ بك في الكرامة والإحسان غاية همّتك,قال الأسد لا يكون أحد من أصحابي ببينك وبين ما يعرض في نفسك وأنت معي وأنا أكفيك بعد ذلك وأبلغ في الكرامة همّتك,قال الأسد لا يكوننّ بغي أصحابي عليك وحسدهم لك ممّا يُعرض في قلبك فكأنّي كافيك ذلك وبالغ بك في الكرامة والإحسان بهمّتك,قال الأسد لا يكوننّ بغي أصحابي عليك وحسدهم لك ممّا يعرض في نفسك فإنّي كافيك ذلك وبالغ بك في الكرامة لك والإحسان إليك,قال له الأسد ما يكون بغي أصحابك عليك وحسدهم إيّاك ممّا يزيدك ذلك عندي إلّا إكرامًا فلا *تسأل *عن شيء من ذلك ولا تعبأ,وقال الأسد لا يكوننّ *بغي أصحابي عليك وحسدهم إيّاك ممّا يعرض في نفسك فإنّي كافيك ذلك وبالغ بك في الإكرام والإحسان !تهمتك وأمنيتك
